Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Append2/100/Hand,3.0692583649798367e-4,2.896442478034188e-4,3.346514336448617e-4,6.934162999814213e-5,5.132638258153196e-5,1.0876273607067544e-4
Append2/100/Folderol,3.0630520936427287e-4,2.939251256001092e-4,3.2100888029827044e-4,4.450021889406899e-5,3.740200783140682e-5,5.4351474018916575e-5
Append2/100/Streaming,4.97830333335126e-4,4.686069941422216e-4,5.484961800660985e-4,1.168173517151976e-4,8.391655319446887e-5,1.7852214252856493e-4
Append2/100/Pipes,7.837378764297365e-4,6.942219188855462e-4,9.037989923004752e-4,3.219047647360983e-4,2.134981790277268e-4,4.7227138922576074e-4
Append2/100/Conduit,8.200717729658214e-4,7.568367474402323e-4,9.174686165116155e-4,2.526619296553236e-4,1.958435305480472e-4,3.2561645864189425e-4
"Append2/1,000/Hand",8.890469363791915e-4,8.5207243187665e-4,9.419379115054727e-4,1.491603806129694e-4,1.1828360748990562e-4,1.8863511901982618e-4
"Append2/1,000/Folderol",8.300945455755448e-4,7.999857981259345e-4,8.621891987302909e-4,1.0116472473560348e-4,8.675391450755321e-5,1.2449632084696516e-4
"Append2/1,000/Streaming",1.4680454530000423e-3,1.4041482217354488e-3,1.5356192366069393e-3,2.1965207136227482e-4,1.891061361715762e-4,2.6424588497760506e-4
"Append2/1,000/Pipes",2.290377844043454e-3,2.1931572494146862e-3,2.416376746181238e-3,3.5008084166635977e-4,2.6389956956192595e-4,4.8353752624805243e-4
"Append2/1,000/Conduit",2.3666102107980902e-3,2.2381094761810376e-3,2.494082459924126e-3,4.4430188268900763e-4,3.7332226512020675e-4,5.503259168655574e-4
"Append2/10,000/Hand",5.6213598152411405e-3,5.2746262267729695e-3,5.992462636117626e-3,1.1152535787499276e-3,9.275568497522114e-4,1.3063943147628458e-3
"Append2/10,000/Folderol",4.829900764333683e-3,4.597646517390732e-3,5.085066369003338e-3,7.167001192153536e-4,6.083461256556263e-4,8.598818789232514e-4
"Append2/10,000/Streaming",1.059445104319403e-2,1.0125500536074163e-2,1.1154752585843032e-2,1.3261423336741035e-3,1.0250836452439318e-3,1.8301794752449388e-3
"Append2/10,000/Pipes",1.6503541423343863e-2,1.5743737675225907e-2,1.73735708202663e-2,2.0126207837271905e-3,1.6873348956243364e-3,2.4494341249353246e-3
"Append2/10,000/Conduit",1.8554581637109945e-2,1.7634047943348156e-2,2.0059779168695984e-2,2.7170736644498753e-3,1.6718762828227581e-3,4.407629139947054e-3
"Append2/100,000/Hand",4.3971699126575274e-2,4.2074891819362734e-2,4.593354220457478e-2,3.6612808582998763e-3,2.7049288057121508e-3,4.906053212275636e-3
"Append2/100,000/Folderol",4.534625612485778e-2,4.120921559932023e-2,5.325540378162392e-2,1.1381323450310918e-2,5.93820578035525e-3,1.800129467242326e-2
"Append2/100,000/Streaming",9.382846945127069e-2,8.973719719921464e-2,9.760460329878608e-2,6.052619151072947e-3,4.2869586755800914e-3,8.299728075543019e-3
"Append2/100,000/Pipes",0.14527208518157603,0.13304946398830927,0.15635046754046833,1.577242721669751e-2,1.0952324893993282e-2,2.0038623619226623e-2
"Append2/100,000/Conduit",0.15396237472800609,0.1417197478029668,0.165198168028594,1.5901196767407363e-2,1.1632160266661994e-2,2.0782093384764954e-2
"Append2/1,000,000/Hand",0.41119358933713723,0.3812614313900089,0.42671440410541356,2.597537575755726e-2,0.0,2.6882839753519933e-2
"Append2/1,000,000/Folderol",0.4345142438370746,0.42449947138978716,0.440010725682704,8.796287917367255e-3,0.0,9.5201858195102e-3
"Append2/1,000,000/Streaming",0.8866335194759799,0.7818398525931943,1.0610154638896678,0.15204161194547472,0.0,0.16118211433319732
"Append2/1,000,000/Pipes",1.4234250187536002,1.3508815463895523,1.475889715938712,7.94155174471763e-2,0.0,9.08715211283296e-2
"Append2/1,000,000/Conduit",1.454530888114827,1.2990838573899386,1.566332217549763,0.16903996932241255,0.0,0.19364558293505493
"Append2/10,000,000/Hand",4.378944732475948,4.167624598593245,4.543675566241469,0.2547476176079214,0.0,0.28532217365506585
"Append2/10,000,000/Folderol",4.0656331265037435,3.9178404499263926,4.1545972954265595,0.13574005347573517,0.0,0.15409046062745774
"Append2/10,000,000/Streaming",8.66485954942029,8.443854345944754,8.781205346080833,0.19219719382602107,0.0,0.20151683106313856
"Append2/10,000,000/Pipes",13.661373825364906,13.5049266944449,13.768229408346663,0.16042104109536012,0.0,0.18507929879679158
"Append2/10,000,000/Conduit",14.935873844337232,14.145873939390036,15.462604100105553,0.7900954009595983,0.0,0.9123235648744794
"Append2/100,000,000/Hand",47.39067060117039,45.46885033438988,48.61134466601595,1.8377542148291528,0.0,2.11426949979415
"Append2/100,000,000/Folderol",46.80446876186463,45.933836196259925,48.019649065944954,1.084752824334851,0.0,1.2042446217918412
"Append2/100,000,000/Streaming",93.8711338828095,92.5287163513902,95.19636052687723,2.2806179181099666,1.7319479184152442e-14,2.2953598790692733
"Append2/100,000,000/Pipes",171.14051995903162,166.6834704333904,173.376205524988,3.8599778949403247,0.0,3.8723209899848356
"Append2/100,000,000/Conduit",182.63009593330924,177.60077253838958,186.459439384161,5.87588830495689,0.0,6.632617416506336
