size,name,mean
100,Hand,3.0692583649798367e-4
100,Folderol,3.0630520936427287e-4
100,Streaming,4.97830333335126e-4
100,Pipes,7.837378764297365e-4
100,Conduit,8.200717729658214e-4
1000,Hand,8.890469363791915e-4
1000,Folderol,8.300945455755448e-4
1000,Streaming,1.4680454530000423e-3
1000,Pipes,2.290377844043454e-3
1000,Conduit,2.3666102107980902e-3
10000,Hand,5.6213598152411405e-3
10000,Folderol,4.829900764333683e-3
10000,Streaming,1.059445104319403e-2
10000,Pipes,1.6503541423343863e-2
10000,Conduit,1.8554581637109945e-2
100000,Hand,4.3971699126575274e-2
100000,Folderol,4.534625612485778e-2
100000,Streaming,9.382846945127069e-2
100000,Pipes,0.14527208518157603
100000,Conduit,0.15396237472800609
1000000,Hand,0.41119358933713723
1000000,Folderol,0.4345142438370746
1000000,Streaming,0.8866335194759799
1000000,Pipes,1.4234250187536002
1000000,Conduit,1.454530888114827
10000000,Hand,4.378944732475948
10000000,Folderol,4.0656331265037435
10000000,Streaming,8.66485954942029
10000000,Pipes,13.661373825364906
10000000,Conduit,14.935873844337232
100000000,Hand,47.39067060117039
100000000,Folderol,46.80446876186463
100000000,Streaming,93.8711338828095
100000000,Pipes,171.14051995903162
100000000,Conduit,182.63009593330924
