Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Arrays/MapPartitionMap2/Folderol/100,1.4515593847747368e-6,1.378480692613471e-6,1.5387161927733128e-6,2.454728323272115e-7,1.9964370688864712e-7,2.7526770489256625e-7
Arrays/MapPartitionMap2/Folderol/1000,1.1893910405927095e-5,1.1625229366821947e-5,1.2356067698814216e-5,1.0767818128928251e-6,7.317330578611089e-7,1.6779560408366871e-6
Arrays/MapPartitionMap2/Folderol/10000,1.2544538431963763e-4,1.2148792675221422e-4,1.3071705566723314e-4,1.526474173635439e-5,1.284424083027468e-5,1.7951917539171785e-5
Arrays/MapPartitionMap2/Folderol/100000,2.4675710769096575e-3,2.208757665986274e-3,2.8970492364818103e-3,1.0157594229617864e-3,7.914997485736719e-4,1.2794526846119391e-3
Arrays/MapPartitionMap2/Folderol/1000000,1.539982851572673e-2,1.4868444428812145e-2,1.590875858033651e-2,1.3199195602594063e-3,1.1291537256223276e-3,1.6009986006245973e-3
Arrays/MapPartitionMap2/Folderol/10000000,0.13847448077809069,0.13419619311924771,0.14242359463007406,5.802651489452977e-3,4.122597211357694e-3,7.758449167562965e-3
Arrays/MapPartitionMap2/Folderol/100000000,1.4113337251274103,1.3727885076563222,1.4473717585699306,6.0365681747726156e-2,2.706168622523819e-16,6.241970492731166e-2
Arrays/MapPartitionMap2/Vector-fused/100,1.4631849217285028e-6,1.4347361662580523e-6,1.5123829810565298e-6,1.2011417133277886e-7,8.168732934694219e-8,1.8543591992328292e-7
Arrays/MapPartitionMap2/Vector-fused/1000,1.2789413108987818e-5,1.2520493837048777e-5,1.3192405911641303e-5,1.0633308070240025e-6,8.467637545311628e-7,1.4272487371986156e-6
Arrays/MapPartitionMap2/Vector-fused/10000,1.3036465325288256e-4,1.269965395730453e-4,1.3634129141457563e-4,1.528725771928978e-5,1.0865675840432069e-5,2.1257645314704115e-5
Arrays/MapPartitionMap2/Vector-fused/100000,1.3130492418461602e-3,1.276637232245819e-3,1.3772362965511619e-3,1.6015823436572491e-4,1.0720375492864988e-4,2.596586912590914e-4
Arrays/MapPartitionMap2/Vector-fused/1000000,1.628248280279098e-2,1.586936070513225e-2,1.6855904028433292e-2,1.1958281614721077e-3,8.487875244626121e-4,1.5480122085647827e-3
Arrays/MapPartitionMap2/Vector-fused/10000000,0.1579360458134417,0.15299857303327777,0.16252439147507097,6.434157697643287e-3,3.960148639808924e-3,8.995094699866582e-3
Arrays/MapPartitionMap2/Vector-fused/100000000,1.7025171105162613,1.6778041143225486,1.7187521327367927,2.4360535299007776e-2,0.0,2.8119883347969974e-2
Arrays/MapPartitionMap2/Vector-unfused/100,1.8029026668141097e-6,1.7291668757437774e-6,1.8973088235282633e-6,2.7277935351783827e-7,2.2370744476002848e-7,3.15713439433793e-7
Arrays/MapPartitionMap2/Vector-unfused/1000,1.4913227605180242e-5,1.4417597350643301e-5,1.5738092392292114e-5,2.0002486594557087e-6,1.2213479906647803e-6,2.7571576620519494e-6
Arrays/MapPartitionMap2/Vector-unfused/10000,1.6119952542787154e-4,1.5396532326984134e-4,1.7226032799837532e-4,2.8850424503026687e-5,2.080283819006848e-5,3.680094911544681e-5
Arrays/MapPartitionMap2/Vector-unfused/100000,2.3630475499554445e-3,2.219763032554138e-3,2.5565745523461877e-3,5.17363701961284e-4,3.89579768548942e-4,6.812451120127958e-4
Arrays/MapPartitionMap2/Vector-unfused/1000000,1.9807585810290858e-2,1.9208002402195223e-2,2.0641635515467473e-2,1.5966223649916237e-3,9.568421567632048e-4,2.181587969606164e-3
Arrays/MapPartitionMap2/Vector-unfused/10000000,0.19870383543409686,0.19329531338672895,0.20719543437009574,8.71093594580463e-3,3.414180052131975e-3,1.166516262586336e-2
Arrays/MapPartitionMap2/Vector-unfused/100000000,2.041478484321921,2.0248045619842587,2.0574987546569603,2.7199520625990015e-2,0.0,2.77479221712767e-2
Arrays/Filter/Folderol/100,2.593766072646187e-7,2.5086660014795937e-7,2.728292908956761e-7,3.56113231622873e-8,2.7788044173655172e-8,4.6505644532870934e-8
Arrays/Filter/Folderol/1000,2.101820617117442e-6,2.0128654309344412e-6,2.248798600916918e-6,3.662306319039948e-7,2.2314121796369413e-7,6.022871624112412e-7
Arrays/Filter/Folderol/10000,2.1175453517801912e-5,2.010651914108023e-5,2.2784265533976152e-5,4.071703491795847e-6,2.809263222640278e-6,6.384750098296087e-6
Arrays/Filter/Folderol/100000,1.8710373234780635e-4,1.7954179307467908e-4,2.0015381678080673e-4,3.127004888031706e-5,2.0157417266006483e-5,4.428972839020251e-5
Arrays/Filter/Folderol/1000000,2.6903673278567083e-3,2.570960489782115e-3,2.8490747455703364e-3,4.7799390118583534e-4,3.6973141538103365e-4,6.047779093920161e-4
Arrays/Filter/Folderol/10000000,2.753180875129429e-2,2.6891433381115562e-2,2.860759863857799e-2,1.840688360596799e-3,1.2946283539644068e-3,2.6906519897980942e-3
Arrays/Filter/Folderol/100000000,0.28156615496051174,0.26349051868641776,0.29160570174193856,1.711500721621513e-2,2.2216343560894983e-3,2.198276411528862e-2
Arrays/Filter/Folderol-flip/100,3.100838975720366e-7,2.9957980367272983e-7,3.2842483602604673e-7,4.324992798459964e-8,2.6108227299672254e-8,6.600786156634569e-8
Arrays/Filter/Folderol-flip/1000,2.995295811354373e-6,2.8771765092305484e-6,3.122540259052551e-6,4.324859091297368e-7,3.5990071395211377e-7,5.007405012741433e-7
Arrays/Filter/Folderol-flip/10000,2.5277232623609088e-5,2.4822774599229817e-5,2.5853732881525613e-5,1.683419410762454e-6,1.3027699228655258e-6,2.581184579364168e-6
Arrays/Filter/Folderol-flip/100000,3.174624674302951e-4,3.0128778185684464e-4,3.3281267142036883e-4,5.0879553573545915e-5,4.546387346845737e-5,5.697887077636545e-5
Arrays/Filter/Folderol-flip/1000000,3.3734060905192156e-3,3.300201464277429e-3,3.4664995279721747e-3,2.809497526548555e-4,2.117063354709274e-4,3.918027281446198e-4
Arrays/Filter/Folderol-flip/10000000,2.934273464653061e-2,2.8429520004575867e-2,3.0454007356539095e-2,2.137535768547793e-3,1.706098565457205e-3,2.5555581324469105e-3
Arrays/Filter/Folderol-flip/100000000,0.30680294409404046,0.29726825217358993,0.31211949311792747,9.38779078698403e-3,2.6237766687296216e-3,1.2524552059809053e-2
Arrays/Filter/Vector/100,2.918601583679088e-7,2.827036698332075e-7,3.0412684450857515e-7,3.4524734719690994e-8,2.7780203889852405e-8,4.6807608106888383e-8
Arrays/Filter/Vector/1000,2.2349634001349336e-6,2.1704893204351408e-6,2.3312922010200823e-6,2.673644228235029e-7,1.9100199790906167e-7,3.6915725449492045e-7
Arrays/Filter/Vector/10000,2.5200289322361664e-5,2.3980656647950998e-5,2.6692397788720188e-5,4.661649365548435e-6,3.844842205332002e-6,5.456767997918523e-6
Arrays/Filter/Vector/100000,2.3278125611951423e-4,2.2260380481117802e-4,2.4333861026377013e-4,3.3298305894648125e-5,2.8832834243984604e-5,3.842991740146723e-5
Arrays/Filter/Vector/1000000,2.795596741924086e-3,2.691408721936783e-3,3.020946458502238e-3,5.024435937278991e-4,3.045337250925361e-4,8.714639302489331e-4
