name,size,mean
Filter/Folderol,100,2.593766072646187e-7
Filter/Folderol,1000,2.101820617117442e-6
Filter/Folderol,10000,2.1175453517801912e-5
Filter/Folderol,100000,1.8710373234780635e-4
Filter/Folderol,1000000,2.6903673278567083e-3
Filter/Folderol,10000000,2.753180875129429e-2
Filter/Folderol,100000000,0.28156615496051174
Filter/Folderol,1000000000,2.641766511602856
Filter/Vector,100,2.918601583679088e-7
Filter/Vector,1000,2.2349634001349336e-6
Filter/Vector,10000,2.5200289322361664e-5
Filter/Vector,100000,2.3278125611951423e-4
Filter/Vector,1000000,2.795596741924086e-3
Filter/Vector,10000000,2.6567438875706634e-2
Filter/Vector,100000000,0.2740572560397626
Filter/Vector,1000000000,2.7648714852410223
FilterMax/Folderol,100,3.2407704891415095e-7
FilterMax/Folderol,1000,2.7038466863039857e-6
FilterMax/Folderol,10000,2.416658314078038e-5
FilterMax/Folderol,100000,2.1596211379058957e-4
FilterMax/Folderol,1000000,2.9600325878150874e-3
FilterMax/Folderol,10000000,3.1019143774482033e-2
FilterMax/Folderol,100000000,0.2872887048647416
FilterMax/Folderol,1000000000,2.9263799330194598
FilterMax/Vector,100,4.0183835488953776e-7
FilterMax/Vector,1000,3.354939155250309e-6
FilterMax/Vector,10000,3.154406321842053e-5
FilterMax/Vector,100000,3.363455707580724e-4
FilterMax/Vector,1000000,5.7434736908854355e-3
FilterMax/Vector,10000000,5.47801349389611e-2
FilterMax/Vector,100000000,0.4546874030717078
FilterMax/Vector,1000000000,10.011193778600624
MapPartition/Folderol,100,4.090560379916921e-7
MapPartition/Folderol,1000,3.333846743031657e-6
MapPartition/Folderol,10000,3.0191630339697752e-5
MapPartition/Folderol,100000,5.806890348062465e-4
MapPartition/Folderol,1000000,6.555402291076868e-3
MapPartition/Folderol,10000000,6.048846711698394e-2
MapPartition/Folderol,100000000,0.5007747617940964
MapPartition/Folderol,1000000000,12.232944517601657
MapPartition/Vector-fused,100,4.2503929076564183e-7
MapPartition/Vector-fused,1000,3.2669744153435704e-6
