Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Part2/100/Hand,7.452335599497226e-4,6.604126016438761e-4,8.705609279956551e-4,3.3109030627692204e-4,2.45903752145587e-4,4.6239058979974303e-4
Part2/100/Folderol,9.569466922048181e-4,8.195941184934544e-4,1.1516243892639498e-3,5.922059477217781e-4,4.481830350363651e-4,8.085955162410515e-4
Part2/100/Streaming,1.1705276810326747e-3,1.020000368466896e-3,1.5159403495121273e-3,6.905222528093143e-4,3.646395549362015e-4,1.2665582076911422e-3
Part2/100/Pipes/hand-fused,1.4278165634304268e-3,1.1910600856626695e-3,2.1726937765744895e-3,1.287537773842743e-3,4.928247734052012e-4,2.9374920457406217e-3
Part2/100/Pipes/arrow,1.4456509531691909e-3,1.287700210095197e-3,1.643551017515499e-3,6.109432556589795e-4,4.5755694895379816e-4,8.581829698704541e-4
Part2/100/Conduit/hand-fused,9.953009331506897e-4,8.802748985079356e-4,1.130563388609e-3,4.4917427316333136e-4,3.810032596022871e-4,5.367938445669092e-4
Part2/1000/Hand,1.6856007405943914e-3,1.5630333775813227e-3,1.8346084089224707e-3,4.581578310920994e-4,3.4301773792785433e-4,7.067756544593673e-4
Part2/1000/Folderol,1.6992806838463388e-3,1.5398077269711432e-3,1.9122965566395137e-3,6.602626882543255e-4,4.980233747594733e-4,9.372540441562213e-4
Part2/1000/Streaming,3.624363315916668e-3,3.393604965328696e-3,3.8788354855688193e-3,7.690538938056083e-4,6.220184306344744e-4,9.814781280455692e-4
Part2/1000/Pipes/hand-fused,2.107128064551697e-3,1.9671130860378617e-3,2.3310858211391568e-3,5.85711971255957e-4,4.6115035049269293e-4,7.40208511667982e-4
Part2/1000/Pipes/arrow,2.555379538250062e-3,2.404159693336491e-3,2.7794343040995584e-3,6.475024482856236e-4,4.0374220638878503e-4,1.1271180934792704e-3
Part2/1000/Conduit/hand-fused,2.230030528240692e-3,2.11854008727807e-3,2.3758865144605412e-3,4.319558617951561e-4,3.425728338949871e-4,5.44091738813386e-4
Part2/10000/Hand,5.769816494341927e-3,5.441212683630257e-3,6.1306827773916555e-3,1.0449302631622443e-3,8.650349777801911e-4,1.2433401305986828e-3
Part2/10000/Folderol,5.9992167793261495e-3,5.593273310959584e-3,6.441533279249231e-3,1.145970962864428e-3,8.92786541920187e-4,1.5356402889384138e-3
Part2/10000/Streaming,2.541778402402186e-2,2.4115017325704948e-2,2.6735062024539222e-2,2.9458532618615468e-3,2.162518060249588e-3,4.083654223713842e-3
Part2/10000/Pipes/hand-fused,1.0758499304213619e-2,1.01943029023158e-2,1.1397707800798771e-2,1.6327473446885068e-3,1.3424709803267264e-3,1.9811625665587737e-3
Part2/10000/Pipes/arrow,1.906586678188686e-2,1.7771161282927956e-2,2.0322105212197756e-2,3.140344060745475e-3,2.5211103252891615e-3,4.0182182945169365e-3
Part2/10000/Conduit/hand-fused,1.4003133617699537e-2,1.3244908330547785e-2,1.4906678436370604e-2,2.1345962980205647e-3,1.7357688464287274e-3,3.0422660680056455e-3
Part2/100000/Hand,5.742782939482771e-2,5.22602626258829e-2,6.0569617523253266e-2,7.340341591505095e-3,5.3393319535527065e-3,1.0015111980816503e-2
Part2/100000/Folderol,5.5315885232562166e-2,5.110068257190487e-2,5.991481246713324e-2,7.507678702026749e-3,5.731524630107007e-3,1.0482522030687126e-2
