size,name,mean
100,Hand,7.452335599497226e-4
100,Folderol,9.569466922048181e-4
100,Streaming,1.1705276810326747e-3
100,Pipes/hand-fused,1.4278165634304268e-3
100,Pipes/arrow,1.4456509531691909e-3
100,Conduit/hand-fused,9.953009331506897e-4
1000,Hand,1.6856007405943914e-3
1000,Folderol,1.6992806838463388e-3
1000,Streaming,3.624363315916668e-3
1000,Pipes/hand-fused,2.107128064551697e-3
1000,Pipes/arrow,2.555379538250062e-3
1000,Conduit/hand-fused,2.230030528240692e-3
10000,Hand,5.769816494341927e-3
10000,Folderol,5.9992167793261495e-3
10000,Streaming,2.541778402402186e-2
10000,Pipes/hand-fused,1.0758499304213619e-2
10000,Pipes/arrow,1.906586678188686e-2
10000,Conduit/hand-fused,1.4003133617699537e-2
100000,Hand,5.742782939482771e-2
100000,Folderol,5.5315885232562166e-2
100000,Streaming,0.26245436724034293
100000,Pipes/hand-fused,0.10687469998732063
100000,Pipes/arrow,0.16564323509673362
100000,Conduit/hand-fused,0.1527383007707311
1000000,Hand,0.4928219791577985
1000000,Folderol,0.5088037026858555
1000000,Streaming,2.7237971545470754
1000000,Pipes/hand-fused,0.9596340223521947
1000000,Pipes/arrow,1.4644065845749668
1000000,Conduit/hand-fused,1.3141658348802623
10000000,Hand,5.776726121824669
10000000,Folderol,5.306867871797318
10000000,Streaming,26.405915901464166
10000000,Pipes/hand-fused,10.595058053435649
10000000,Pipes/arrow,15.181134661685794
10000000,Conduit/hand-fused,12.396993509102202
100000000,Hand,55.55632718499108
100000000,Folderol,57.233126728102555
100000000,Streaming,221.84164047307456
100000000,Pipes/hand-fused,76.91727452585194
100000000,Pipes/arrow,105.35373416904645
100000000,Conduit/hand-fused,104.20691485004683
