name,size,mean
Conduit/TwoPass,100,1.2678580511578312e-4
Conduit/TwoPass,1000,1.0027259817294153e-3
Conduit/TwoPass,10000,1.0256142306518667e-2
Conduit/TwoPass,100000,0.1138256526786261
Conduit/TwoPass,1000000,1.0343832734078335
Conduit/TwoPass,10000000,9.225780764074466
Conduit/TwoPass,100000000,88.83957535587972
Conduit/OnePass,100,9.159523165314595e-5
Conduit/OnePass,1000,7.102264877546823e-4
Conduit/OnePass,10000,6.756709397776582e-3
Conduit/OnePass,100000,5.5120819632848976e-2
Conduit/OnePass,1000000,1.0253828720188043
Conduit/OnePass,10000000,8.59879005129705
Conduit/OnePass,100000000,79.73320901685203
Pipes,100,4.613740216256649e-5
Pipes,1000,4.469796850308592e-4
Pipes,10000,4.2825693919430075e-3
Pipes,100000,3.835075493314876e-2
Pipes,1000000,0.38834335912999945
Pipes,10000000,4.178074499907804
Pipes,100000000,39.44351308043459
Streaming,100,4.005547290794024e-5
Streaming,1000,4.06508971906616e-4
Streaming,10000,4.293084632645536e-3
Streaming,100000,3.9741755417200944e-2
Streaming,1000000,0.48584502207401775
Streaming,10000000,5.510116535851843
Streaming,100000000,62.09301851785224
Hand,100,2.053458810630721e-6
Hand,1000,1.136593622656456e-5
Hand,10000,9.756773635067599e-5
Hand,100000,1.3353525928069246e-3
Hand,1000000,1.2138817879370406e-2
Hand,10000000,0.12245535884654864
Hand,100000000,1.350747011934722
Folderol,100,7.155477444230997e-6
Folderol,1000,2.310713273727686e-5
Folderol,10000,1.58133554394315e-4
Folderol,100000,2.6124354531282114e-3
Folderol,1000000,2.1133198585373245e-2
Folderol,10000000,0.2229424299321423
Folderol,100000000,2.139833053100951
Vector/Recompute,100,7.1821080916447175e-6
Vector/Recompute,1000,2.8040588793881146e-5
Vector/Recompute,10000,2.3953047356760387e-4
Vector/Recompute,100000,2.823891999305975e-3
Vector/Recompute,1000000,2.4463763588866802e-2
Vector/Recompute,10000000,0.2672891416698951
Vector/Recompute,100000000,2.761649717352382
Vector/Store,100,8.561300857031137e-6
Vector/Store,1000,3.164017911976171e-5
Vector/Store,10000,2.6915033668615016e-4
Vector/Store,100000,4.02615563403535e-3
Vector/Store,1000000,4.333538273498388e-2
Vector/Store,10000000,0.43185396088071676
Vector/Store,100000000,4.048056782547998
