Name,Elements,Processes,Chunksize,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ManyChan,10000000,0,1,7.632432729575587e-3,7.455306662938598e-3,7.815058974537992e-3,4.872008257380064e-4,3.9748788880905367e-4,6.450467446129835e-4
ManyChan,10000000,0,10,7.736639619536031e-3,7.5517004857589e-3,7.95974196489043e-3,6.159558746365537e-4,4.934715692718442e-4,8.088396714835941e-4
ManyChan,10000000,0,100,7.38722821699216e-3,7.267792937551119e-3,7.5721670976958465e-3,4.316446911566037e-4,3.0686056192780187e-4,6.80742751596948e-4
ManyChan,10000000,0,1000,7.688847266831404e-3,7.506173990958725e-3,7.923698347593988e-3,5.950332838284755e-4,4.424233770256567e-4,8.142608834060549e-4
ManyChan,10000000,0,10000,7.510254087642528e-3,7.380437465086863e-3,7.6697425652676446e-3,4.2607480889351654e-4,3.526124374317516e-4,5.282260212509198e-4
ManyChan,10000000,0,100000,7.67209486434095e-3,7.4839597626746085e-3,7.96101676197028e-3,6.207022857298374e-4,4.349575208167547e-4,9.821053501056012e-4
ManyChan,10000000,0,1000000,7.514972730711158e-3,7.3596658799917666e-3,7.759040691549382e-3,5.864368625467204e-4,4.131953099823069e-4,8.293478126659918e-4
ManyChan,10000000,1,1,2.206340609148363e-2,2.0753798733150013e-2,2.689618025044975e-2,5.1888792507243315e-3,1.076662118076323e-3,1.0013862644604502e-2
ManyChan,10000000,1,10,2.1432076614588794e-2,2.084398919393864e-2,2.219930649730228e-2,1.5090931874815923e-3,9.633162415603478e-4,2.44467139457063e-3
ManyChan,10000000,1,100,2.1786821644801176e-2,2.1110136459270318e-2,2.289550706897165e-2,2.0936875410266197e-3,1.3687848696307008e-3,3.1605289823406144e-3
ManyChan,10000000,1,1000,2.1022110638281716e-2,2.0629386966817462e-2,2.1551076343132393e-2,1.0843225093643731e-3,7.943155174110166e-4,1.6688949326223888e-3
ManyChan,10000000,1,10000,2.0969428965185777e-2,2.057525356749077e-2,2.1399341004978097e-2,9.482031649291685e-4,7.907029684201055e-4,1.2217087502826686e-3
ManyChan,10000000,1,100000,2.110153907581311e-2,2.073058493971463e-2,2.1629246869130977e-2,9.812149844829164e-4,7.154762611494816e-4,1.4629281881143694e-3
ManyChan,10000000,1,1000000,2.1492617692877334e-2,2.085863253150682e-2,2.2573832812366464e-2,1.8899313600512382e-3,8.874049220412453e-4,3.3341189950917317e-3
ManyChan,10000000,2,1,5.1449925527179814e-2,4.731341639925967e-2,6.244135445901241e-2,1.1862457020018298e-2,4.791315206297575e-3,2.017309044538663e-2
ManyChan,10000000,2,10,4.781807871785274e-2,4.5893139018858296e-2,4.949910453541106e-2,3.15429812531034e-3,2.370315878401593e-3,4.124536753727095e-3
ManyChan,10000000,2,100,4.8328609084738926e-2,4.519012639411487e-2,5.190483865335138e-2,6.4161776153301864e-3,4.911327616019285e-3,8.512604672714374e-3
ManyChan,10000000,2,1000,4.651710915785928e-2,4.324843624657854e-2,5.2274914015103e-2,7.26426014852641e-3,3.9333525966493595e-3,1.1303141871343856e-2
ManyChan,10000000,2,10000,4.463822072718276e-2,4.251022895638975e-2,4.700482145099782e-2,3.997022281972804e-3,2.9279581137387515e-3,5.50038109756334e-3
ManyChan,10000000,2,100000,4.8346136273053585e-2,4.6057562831227083e-2,5.0946437085938934e-2,4.687058779446035e-3,3.8576705875777322e-3,5.57804447524618e-3
ManyChan,10000000,2,1000000,4.826097690929348e-2,4.6601074500902284e-2,5.060795889858566e-2,3.852825107828312e-3,2.472617009753015e-3,5.830619878093314e-3
ManyChan,10000000,3,1,6.646923292077904e-2,6.268341298717353e-2,6.969237884064453e-2,5.850736710061607e-3,3.909688457011665e-3,9.055498010037664e-3
ManyChan,10000000,3,10,6.656575678269841e-2,6.306959956584576e-2,6.941703260189803e-2,5.417437419667384e-3,3.347713791962572e-3,9.085478727529664e-3
ManyChan,10000000,3,100,6.55404528439408e-2,6.273150313447555e-2,6.924433153598465e-2,6.249340902161374e-3,4.0089224792949135e-3,9.251505630363121e-3
ManyChan,10000000,3,1000,6.915170184172656e-2,6.541397127381685e-2,7.21678383408196e-2,5.48990654703563e-3,3.350756840509147e-3,8.269604214669816e-3
ManyChan,10000000,3,10000,6.546894729896417e-2,6.290839734620238e-2,6.907107194618409e-2,5.000744446100728e-3,4.114679872585476e-3,6.495722856984052e-3
ManyChan,10000000,3,100000,6.422869693845389e-2,6.164487442872133e-2,6.662902460849492e-2,4.21900152966157e-3,3.2393357686434725e-3,5.364922764142372e-3
ManyChan,10000000,3,1000000,6.529180696665907e-2,6.16359410477362e-2,6.82956707458837e-2,5.822990113313472e-3,4.32656706015887e-3,8.496632109665603e-3
ManyChan,10000000,4,1,8.507502079855106e-2,8.162598829644646e-2,8.7777821810473e-2,5.015763491112097e-3,3.325529766644589e-3,7.7334107671119074e-3
ManyChan,10000000,4,10,8.915979202064692e-2,8.342302281537203e-2,9.644292759101261e-2,1.0278248733052005e-2,6.130276893714058e-3,1.5400461006451501e-2
ManyChan,10000000,4,100,8.351511805158822e-2,8.060929733476252e-2,8.699352210799353e-2,4.9984687743957696e-3,3.246948093989475e-3,7.6558583185127585e-3
ManyChan,10000000,4,1000,8.248723946008979e-2,7.999520947966814e-2,8.535958834381607e-2,4.418755230347279e-3,3.240969942132791e-3,5.700409480752465e-3
ManyChan,10000000,4,10000,8.747352214108566e-2,8.464879764597447e-2,8.921873040804446e-2,3.6231604072041643e-3,1.0957386681647694e-3,6.032478150771858e-3
